nom;variete;famille;categorie;profondeur_mm;espacement_cm;mois_semis;levee_min_j;levee_max_j;recolte_min_j;recolte_max_j;temp_min_germination_c;exposition;besoin_eau;semis_direct;notes
Aubergine;Violette longue;Solanacées;legume_fruit;5;45;2,3;10;20;120;150;20;plein_soleil;eleve;non;La plus frileuse des solanacées. En bac, prévoir un grand volume et un tuteur, le plant se couche sous les fruits.
Courgette;Ronde de Nice;Cucurbitacées;legume_fruit;20;60;4,5,6;5;10;60;80;15;plein_soleil;eleve;oui;Variété non coureuse, adaptée aux bacs. Très gourmande en eau et en place : un seul pied par jardinière.
Concombre;Vert long maraîcher;Cucurbitacées;legume_fruit;20;50;4,5,6;5;10;60;80;18;plein_soleil;eleve;non;Conduire sur un support vertical, c'est ce qui économise le plus de place en bac.
Blette;Verte à carde blanche;Amaranthacées;legume_feuille;20;25;4,5,6,7;7;14;60;90;10;mi_ombre;moyen;oui;Se récolte feuille à feuille pendant des mois. Une des plus productives au mètre carré de bac.
Chou-rave;Blanc de Vienne;Brassicacées;legume_racine;10;20;3,4,5,6,7;5;10;60;80;10;plein_soleil;moyen;oui;C'est la tige qui gonfle, au-dessus du sol : ne pas butter. Récolter avant 8 cm, au-delà la chair devient ligneuse.
Mizuna;Japonaise;Brassicacées;legume_feuille;5;15;3,4,5,6,7,8,9;4;8;35;50;8;mi_ombre;moyen;oui;Repousse vite après coupe et résiste bien au froid. Idéale pour prolonger les salades en arrière-saison.
Cresson alénois;Commun;Brassicacées;legume_feuille;3;5;3,4,5,6,7,8,9;2;4;20;30;8;mi_ombre;moyen;oui;La levée la plus rapide du catalogue, souvent moins de trois jours. Parfait pour vérifier qu'un substrat neuf fonctionne.
Pourpier;Doré à large feuille;Portulacacées;legume_feuille;3;15;5,6,7;7;14;50;60;15;plein_soleil;faible;oui;Aime la chaleur et supporte la sécheresse. Graine minuscule, semer en surface sans recouvrir.
Betterave;Crapaudine;Amaranthacées;legume_racine;20;10;4,5,6;10;15;80;100;10;plein_soleil;moyen;oui;Chaque graine est un glomérule qui donne plusieurs plants : l'éclaircissage n'est pas optionnel.
Panais;Demi-long de Guernesey;Apiacées;legume_racine;15;15;3,4,5;15;25;120;160;8;plein_soleil;moyen;oui;Levée très lente et graines qui perdent vite leur pouvoir germinatif : n'utiliser que des semences de l'année.
Pak choï;Blanc;Brassicacées;legume_feuille;10;20;4,5,6,7,8;4;8;45;60;10;mi_ombre;moyen;oui;Pousse très vite. Monte en graine si le semis est trop précoce au printemps, préférer la fin d'été.
Capucine;Naine;Tropéolacées;fleur;20;30;4,5,6;7;14;60;80;12;plein_soleil;faible;oui;Fleurs et feuilles comestibles. Attire les pucerons, ce qui en fait une plante-piège utile à côté des légumes.
Souci;Calendula officinalis;Astéracées;fleur;10;25;3,4,5,6;7;14;60;70;10;plein_soleil;faible;oui;Se ressème seul d'une année sur l'autre. Pétales comestibles, et fleurit jusqu'aux gelées.
Œillet d'Inde;Nain double;Astéracées;fleur;5;25;3,4,5;5;10;60;70;15;plein_soleil;moyen;non;Traditionnellement associé aux tomates. Fleurit longtemps si on retire les fleurs fanées.
Bourrache;Officinale;Boraginacées;fleur;15;30;4,5,6;7;14;60;70;10;plein_soleil;faible;oui;Excellente mellifère, elle fait venir les pollinisateurs sur le balcon. Se ressème abondamment, parfois trop.
Sarriette;Annuelle;Lamiacées;aromatique;3;25;4,5,6;10;20;80;100;15;plein_soleil;faible;oui;Compagne classique des haricots. Supporte très bien la sécheresse en bac.
Origan;Commun;Lamiacées;aromatique;3;25;4,5,6;10;20;90;120;15;plein_soleil;faible;non;Graine à peine recouverte, semée en surface. Vivace qui gagne en parfum sur un substrat pauvre et sec.
Sauge;Officinale;Lamiacées;aromatique;5;40;4,5,6;14;21;120;180;15;plein_soleil;faible;non;Vivace de longue durée. Craint l'humidité hivernale bien plus que le froid : drainage impératif.
Romarin;Officinal;Lamiacées;aromatique;5;50;4,5,6;20;30;150;240;18;plein_soleil;faible;non;Germination lente et taux de levée souvent faible, y compris avec de bonnes graines. Le bouturage est nettement plus fiable.
